NBA 2K21,Esporte,Visual Concepts,2K Sports,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,—,Nao Encontrado
NBA 2K22,Esporte,Visual Concepts,2K Sports,10 de setembro de 2021,10 de setembro de 2021,10 de setembro de 2021,—,Nao Encontrado
NBA 2K23,Esporte,Visual Concepts,2K Sports,9 de setembro de 2022,9 de setembro de 2022,9 de setembro de 2022,—,Nao Encontrado
NBA 2K24,Esporte,Visual Concepts,2K Sports,8 de setembro de 2023,8 de setembro de 2023,8 de setembro de 2023,—,Nao Encontrado
Observer: System Redux,Terror psicológico,Bloober Team,Aspyr,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,Nao Encontrado
Ori and the Will of the Wisps,Plataforma e aventuraMetroidvania,Moon Studios,Xbox Game Studios,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,[5]
Orphan of the Machine,Metroidvania,Dynamic Voltage Games,Dynamic Voltage Games,TBA,TBA,TBA,TBA,[10]
The Outer Worlds: Spacer's Choice Edition,RPG de ação,Obsidian Entertainment,Private Division,7 de março de 2023,7 de março de 2023,7 de março de 2023,7 de março de 2023,Nao Encontrado
The Outer Worlds 2,RPG de ação,Obsidian Entertainment,Xbox Game Studios,TBA,TBA,TBA,TBA,Nao Encontrado
Outriders,Tiro em terceira pessoa,People Can Fly,Square Enix,1 de abril de 2021,1 de abril de 2021,1 de abril de 2021,1 de abril de 2021,Nao Encontrado
Phantasy Star Online 2: New Genesis,RPG de ação,Sega,Sega,TBA,9 de junho de 2021,TBA,TBA,Nao Encontrado
Planet Coaster: Console Edition,Construção e gerenciamento,Frontier Developments,Frontier Developments,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,Nao Encontrado
Pragmata,TBA,Capcom,Capcom,TBA,TBA,TBA,TBA,Nao Encontrado
Psychonauts 2,Plataforma 3DAção e aventura,Double Fine Productions,Xbox Game Studios,25 de agosto de 2021,25 de agosto de 2021,25 de agosto de 2021,25 de agosto de 2021,Nao Encontrado
Resident Evil Village,Survival horror,Capcom,Capcom,7 de maio de 2021,7 de maio de 2021,7 de maio de 2021,7 de maio de 2021,Nao Encontrado
Recompile,Metroidvania,Phigames,Dear Villagers,TBA,TBA,TBA,TBA,[11]
